Model,avg_Bleu_4,avg_METEOR,avg_ROUGE_L,avg_q-BlEU1,avg_self-BLEU2,len_diff,multi_Bleu_4_F1,multi_Bleu_4_prec,multi_Bleu_4_rec,multi_METEOR_F1,multi_METEOR_prec,multi_METEOR_rec,multi_ROUGE_L_F1,multi_ROUGE_L_prec,multi_ROUGE_L_rec,multi_q-BLEU1_F1,multi_q-BLEU1_prec,multi_q-BLEU1_rec
SQuADDu_one2many_QG_@M_T5Seq2Seq_Seq2Seq_0_top1False,11.15,22.12,42.41,47.58,38.82,1.4458624948538492,6.25,7.89,6.01,15.55,19.47,15.03,28.97,36.22,27.94,28.48,35.7,27.5
SQuADDu_one2many_sentence_QG_@M_T5Seq2Seq_Seq2Seq_0_top1False,11.64,22.65,41.96,47.6,34.91,0.3919308357348703,7.8,8.54,8.18,17.93,19.34,19.06,32.08,34.53,34.12,32.08,34.6,34.12
SQuADDu_one2many_sentence_type_driven_QG_@M_T5Seq2Seq_Seq2Seq_0_top1False,12.67,23.4,42.65,48.54,17.04,1.7612186084808563,7.57,10.18,6.73,16.79,21.98,15.25,30.05,39.16,27.34,30.11,39.26,27.41
SQuADDu_one2one_QG_@M_T5Seq2Seq_Seq2Seq_0_top1True,12.68,23.58,44.12,49.27,0.0,3.889666529435982,3.73,10.34,2.46,9.1,23.58,6.12,16.94,43.57,11.43,16.58,42.74,11.17
SQuADDu_one2one_QG_advanced_ranked5_@M_T5Seq2Seq_Seq2Seq_0_top1False,7.01,19.24,35.8,41.3,21.63,-0.10992177850967476,5.42,5.46,6.28,15.97,16.02,18.29,28.93,29.07,32.97,29.16,29.25,33.42
SQuADDu_one2one_QG_advanced_rankedM_@M_T5Seq2Seq_Seq2Seq_0_top1False,6.84,19.48,36.15,41.94,37.32,-3.2935364347468092,5.66,4.93,8.15,15.46,13.38,22.07,27.55,23.8,39.35,28.06,24.18,40.3
SQuADDu_one2one_QG_best@5_T5Seq2Seq_Seq2Seq_0_top1False,16.93,29.96,50.04,56.73,69.15,-0.11033347056401811,11.07,11.22,12.65,22.99,23.24,25.95,38.07,38.44,43.06,38.92,39.35,44.06
SQuADDu_one2one_QG_best@G_T5Seq2Seq_Seq2Seq_0_top1False,16.62,29.73,49.66,56.31,67.05,0.0032935364347468094,12.38,12.38,12.38,27.65,27.65,27.64,45.16,45.17,45.16,45.62,45.62,45.62
SQuADDu_one2one_QG_best@M_T5Seq2Seq_Seq2Seq_0_top1False,20.38,32.52,53.41,60.52,69.53,1.4199258954302183,12.14,15.63,11.56,23.2,29.03,22.3,37.87,47.19,36.5,39.16,49.1,37.66
SQuADDu_one2one_QG_rand@5_T5Seq2Seq_Seq2Seq_0_top1False,7.78,20.52,37.67,43.5,66.18,-0.11033347056401811,5.14,5.22,5.85,15.78,15.91,17.94,28.79,29.02,32.69,28.78,28.98,32.79
SQuADDu_one2one_QG_rand@G_T5Seq2Seq_Seq2Seq_0_top1False,7.82,20.55,37.86,43.72,66.68,0.0032935364347468094,5.36,5.36,5.36,17.51,17.51,17.5,32.28,32.29,32.28,31.99,31.99,31.98
SQuADDu_one2one_QG_rand@M_T5Seq2Seq_Seq2Seq_0_top1False,7.93,20.67,37.74,43.56,66.8,1.4199258954302183,4.7,5.79,4.58,14.56,18.05,14.14,26.42,32.68,25.63,26.42,32.79,25.64
SQuADDu_one2one_QG_simple_ranked_@M_T5Seq2Seq_Seq2Seq_0_top1False,11.21,23.71,41.69,47.98,49.25,-0.10580485796624126,6.78,6.9,7.81,17.07,17.27,19.45,30.17,30.5,34.3,30.38,30.68,34.65
SQuADDu_one2one_sentence_QG_@M_T5Seq2Seq_Seq2Seq_0_top1True,11.91,23.2,42.81,48.61,17.84,1.7764512144915603,6.97,9.51,6.11,16.56,21.79,14.98,30.02,39.23,27.24,29.96,39.16,27.21
SQuADDu_one2one_sentence_QG_advanced_ranked5_@M_T5Seq2Seq_Seq2Seq_0_top1False,6.65,18.57,35.21,40.51,20.11,-0.09921778509674763,5.14,5.13,6.03,15.41,15.43,17.72,28.41,28.49,32.49,28.48,28.53,32.76
SQuADDu_one2one_sentence_QG_advanced_rankedM_@M_T5Seq2Seq_Seq2Seq_0_top1False,6.54,18.99,35.63,41.48,42.98,-6.358995471387402,5.75,4.64,9.68,14.3,11.53,23.87,25.3,20.38,42.2,25.91,20.86,43.33
SQuADDu_one2one_sentence_QG_best@5_T5Seq2Seq_Seq2Seq_0_top1False,20.26,32.2,52.85,59.42,75.66,-0.10292301358583779,13.69,14.05,15.25,25.04,25.4,28.02,40.63,41.15,45.61,41.59,42.22,46.71
SQuADDu_one2one_sentence_QG_best@G_T5Seq2Seq_Seq2Seq_0_top1False,19.64,31.83,52.24,58.73,74.03,0.007410456978180321,15.16,15.17,15.16,29.97,29.98,29.97,48.08,48.09,48.07,48.62,48.65,48.61
SQuADDu_one2one_sentence_QG_best@M_T5Seq2Seq_Seq2Seq_0_top1False,21.52,33.2,54.18,60.8,75.78,0.3750514615067929,14.2,15.47,14.94,25.41,27.38,26.9,41.06,44.11,43.58,42.17,45.52,44.68
SQuADDu_one2one_sentence_QG_rand@5_T5Seq2Seq_Seq2Seq_0_top1False,7.85,20.48,37.86,43.88,72.39,-0.10292301358583779,5.37,5.43,6.26,15.85,15.94,18.15,28.97,29.16,33.05,29.24,29.41,33.47
SQuADDu_one2one_sentence_QG_rand@G_T5Seq2Seq_Seq2Seq_0_top1False,7.85,20.38,37.46,43.55,72.14,0.007410456978180321,5.5,5.5,5.49,17.44,17.45,17.44,32.03,32.04,32.02,31.94,31.96,31.93
SQuADDu_one2one_sentence_QG_rand@M_T5Seq2Seq_Seq2Seq_0_top1False,7.66,20.3,37.39,43.69,72.54,0.3750514615067929,5.11,5.52,5.43,15.56,16.7,16.61,28.33,30.34,30.27,28.78,30.88,30.76
SQuADDu_one2one_sentence_QG_simple_ranked_@M_T5Seq2Seq_Seq2Seq_0_top1False,11.22,23.72,41.51,47.86,52.72,-0.09715932482503088,6.77,6.85,7.81,16.7,16.84,19.08,29.5,29.73,33.62,29.76,29.98,34.04
SQuADDu_one2one_sentence_type_driven_QG_@M_T5Seq2Seq_Seq2Seq_0_top1True,12.3,23.27,42.78,48.55,16.43,1.9876492383696995,7.01,9.91,6.09,16.03,22.01,14.21,29.06,39.59,25.8,28.9,39.5,25.62
SQuADDu_one2one_sentence_type_driven_QG_advanced_ranked5_@M_T5Seq2Seq_Seq2Seq_0_top1False,6.38,17.92,33.85,39.26,18.45,-0.08892548373816385,4.93,4.94,5.73,14.97,14.99,17.21,27.5,27.57,31.49,27.59,27.65,31.73
SQuADDu_one2one_sentence_type_driven_QG_advanced_rankedM_@M_T5Seq2Seq_Seq2Seq_0_top1False,6.15,18.48,34.4,40.25,42.94,-7.14985590778098,5.42,4.32,9.49,13.66,10.92,23.58,24.15,19.25,41.76,24.73,19.71,42.82
SQuADDu_one2one_sentence_type_driven_QG_best@5_T5Seq2Seq_Seq2Seq_0_top1False,20.01,31.88,52.17,58.67,75.31,-0.09592424866200082,13.53,13.88,15.0,24.82,25.22,27.69,40.3,40.85,45.2,41.15,41.81,46.13
SQuADDu_one2one_sentence_type_driven_QG_best@G_T5Seq2Seq_Seq2Seq_0_top1False,19.46,31.6,51.69,58.11,73.75,0.012350761630300536,14.93,14.94,14.93,29.68,29.7,29.66,47.61,47.65,47.59,48.07,48.12,48.05
SQuADDu_one2one_sentence_type_driven_QG_best@M_T5Seq2Seq_Seq2Seq_0_top1False,24.71,35.14,56.45,63.46,76.25,1.760806916426513,14.97,20.0,13.4,25.22,32.7,22.96,40.3,52.11,36.8,41.71,54.17,37.98
SQuADDu_one2one_sentence_type_driven_QG_rand@5_T5Seq2Seq_Seq2Seq_0_top1False,7.15,19.82,36.37,42.36,71.32,-0.09592424866200082,4.86,4.92,5.56,15.34,15.46,17.48,28.07,28.27,31.96,28.15,28.32,32.17
